name,slug,value,date_of_information,ranking,region
"China","china","10,773,248,000.0","2019 est.","1","East and Southeast Asia"
"United States","united-states","5,144,361,000.0","2019 est.","2","North America"
"India","india","2,314,738,000.0","2019 est.","3","South Asia"
"Russia","russia","1,848,070,000.0","2019 est.","4","Central Asia"
"Japan","japan","1,103,234,000.0","2019 est.","5","East and Southeast Asia"
"Germany","germany","726,881,000.0","2019 est.","6","Europe"
"Korea, South","korea-south","686,954,000.0","2019 est.","7","East and Southeast Asia"
"Iran","iran","646,038,000.0","2019 est.","8","Middle East"
"Canada","canada","612,084,000.0","2019 est.","9","North America"
"Saudi Arabia","saudi-arabia","579,925,000.0","2019 est.","10","Middle East"
"Indonesia","indonesia","563,543,000.0","2019 est.","11","East and Southeast Asia"
"South Africa","south-africa","470,358,000.0","2019 est.","12","Africa"
"Mexico","mexico","463,739,000.0","2019 est.","13","North America"
"Brazil","brazil","456,670,000.0","2019 est.","14","South America"
"Australia","australia","417,870,000.0","2019 est.","15","Australia and Oceania"
"United Kingdom","united-kingdom","398,084,000.0","2019 est.","16","Europe"
"Turkey (Turkiye)","turkey-turkiye","391,792,000.0","2019 est.","17","Middle East"
"France","france","338,425,000.0","2019 est.","18","Europe"
"Italy","italy","332,041,000.0","2019 est.","19","Europe"
"Thailand","thailand","305,273,000.0","2019 est.","20","East and Southeast Asia"
"Poland","poland","304,040,000.0","2019 est.","21","Europe"
"Spain","spain","280,624,000.0","2019 est.","22","Europe"
"Taiwan","taiwan","279,206,000.0","2019 est.","23","East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","276,236,000.0","2019 est.","24","Middle East"
"Kazakhstan","kazakhstan","263,689,000.0","2019 est.","25","Central Asia"
"Malaysia","malaysia","254,764,000.0","2019 est.","26","East and Southeast Asia"
"Vietnam","vietnam","249,929,000.0","2019 est.","27","East and Southeast Asia"
"Singapore","singapore","238,983,000.0","2019 est.","28","East and Southeast Asia"
"Egypt","egypt","235,137,000.0","2019 est.","29","Africa"
"Netherlands","netherlands","214,416,000.0","2019 est.","30","Europe"
"Pakistan","pakistan","193,869,000.0","2019 est.","31","South Asia"
"Argentina","argentina","193,205,000.0","2019 est.","32","South America"
"Ukraine","ukraine","185,686,000.0","2019 est.","33","Europe"
"Algeria","algeria","151,633,000.0","2019 est.","34","Africa"
"Iraq","iraq","143,479,000.0","2019 est.","35","Middle East"
"Philippines","philippines","142,282,000.0","2019 est.","36","East and Southeast Asia"
"Belgium","belgium","128,247,000.0","2019 est.","37","Europe"
